order_id,customer_id,product_id,quantity,sale_date,amount
1,101,550,2,2021-06-13,753.18
2,120,528,1,2023-08-27,183.76
3,109,508,5,2023-04-09,781.4
4,109,512,3,2022-05-25,954.45
5,133,537,2,2022-04-07,849.3
6,137,538,5,2023-05-25,1781.9
7,124,540,4,2021-08-27,1771.6
9,138,542,4,2021-11-18,1142.44
10,127,511,5,2022-01-08,2281.3
11,101,542,4,2021-03-27,1142.44
12,108,509,1,2022-10-10,259.48
13,101,505,5,2022-09-23,826.05
14,117,516,4,2021-06-25,1853.64
15,122,523,2,2023-01-17,209.24
16,139,544,2,2022-01-28,162.9
17,133,514,2,2023-03-23,558.48
18,131,506,3,2021-10-07,495.27
19,137,503,2,2021-10-24,109.84
20,117,548,5,2021-05-21,773.45
21,103,516,3,2022-11-29,1390.23
22,124,527,2,2022-01-08,647.4
23,118,504,5,2021-12-15,621.15
24,129,514,3,2021-02-02,837.72
25,128,531,4,2021-01-01,1379.4
26,111,529,3,2022-01-15,1239.6
27,103,537,5,2023-08-12,2123.25
28,134,539,2,2022-01-27,942.86
29,120,535,1,2021-06-14,294.9
30,130,529,1,2023-04-19,413.2
31,138,529,4,2023-04-23,1652.8
33,134,537,2,2022-08-11,849.3
34,138,545,3,2021-08-01,186
35,116,525,2,2023-03-18,83.86
36,121,529,1,2023-01-03,413.2
37,122,520,3,2023-05-19,137.37
39,105,516,3,2023-04-30,1390.23
40,115,544,3,2022-12-24,244.35
41,120,537,5,2023-06-18,2123.25
42,128,523,1,2023-09-24,104.62
43,123,533,5,2022-09-06,2199.15
44,102,548,1,2021-08-22,154.69
45,140,536,3,2021-08-17,1114.92
46,115,543,1,2023-02-14,471.68
48,126,502,3,2021-06-29,431.88
49,132,508,5,2023-04-06,781.4
50,120,522,1,2023-02-23,68.65
51,139,532,2,2021-02-04,552.36
52,127,549,3,2023-03-25,398.58
53,134,503,1,2022-08-20,54.92
54,136,512,2,2021-06-15,636.3
55,115,517,1,2023-04-09,158.77
56,127,502,1,2023-01-30,143.96
57,138,541,2,2022-10-03,182.42
58,103,540,1,2022-10-12,442.9
59,128,523,3,2023-06-09,313.86
60,104,509,4,2022-03-28,1037.92
61,112,536,1,2021-12-25,371.64
62,109,511,2,2022-03-01,912.52
63,110,516,1,2021-04-10,463.41
64,128,536,2,2021-02-04,743.28
65,133,517,2,2021-01-18,317.54
66,125,523,1,2021-12-16,104.62
67,118,541,5,2023-09-09,456.05
68,111,520,2,2021-04-12,91.58
69,130,539,4,2021-05-03,1885.72
70,132,548,1,2021-10-22,154.69
71,137,508,5,2021-10-30,781.4
72,106,532,2,2023-06-02,552.36
73,117,542,4,2023-03-22,1142.44
74,122,524,4,2021-07-08,290.44
75,114,503,1,2021-09-27,54.92
77,111,510,2,2023-03-30,261.76
78,137,510,2,2021-12-31,261.76
79,120,515,5,2023-04-27,1062.4