sale_id,customer_id,product,region,amount,sale_date
101,C001,Laptop,North,900,2024-01-01
102,C002,Phone,South,450,2024-01-02
103,C003,Tablet,East,700,2024-01-03
104,C004,Headphones,West,250,2024-01-04
105,C005,Camera,North,1200,2024-01-05
106,C001,Laptop,South,500,2024-01-06
107,C002,Phone,East,800,2024-01-07
108,C003,Tablet,West,650,2024-01-08
109,C004,Headphones,North,1100,2024-01-09
110,C005,Camera,South,400,2024-01-10
111,C001,Laptop,East,950,2024-01-11
112,C002,Phone,West,350,2024-01-12
113,C003,Tablet,North,600,2024-01-13
114,C004,Headphones,South,1000,2024-01-14
115,C005,Camera,East,700,2024-01-15
116,C001,Laptop,West,300,2024-01-16
117,C002,Phone,North,750,2024-01-17
118,C003,Tablet,South,1250,2024-01-18
119,C004,Headphones,East,400,2024-01-19
120,C005,Camera,West,850,2024-01-20